TIME (s  +-0.05s),T_I (C   +-1 C),T_H (C   +-1 C),T_C (C   +-1 C),HOT/COLD/OUT
0,29,98,1,O
4.92,29,98,1,H
10.08,30,97,1,H
15.04,30,97,1,H
20.05,31,97,1,H
24.97,31,97,1,H
30.04,32,97,1,H
35.01,34,98,1,H
40.05,35,98,1,H
45.02,37,98,1,H
50.21,39,98,1,C
54.97,40,98,2,C
60.11,42,98,3,C
65.05,44,98,3,C
70.12,45,98,4,C
75.01,46,98,4,C
80.6,47,98,3,C
85.03,47,98,3,C
90.1,47,98,2,C
95.13,46,97,2,H
100.05,46,97,2,H
105.04,46,97,2,H
110,45,97,2,H
115.01,45,97,2,H
120.06,45,98,2,H
125.06,46,98,2,H
130.12,46,98,2,H
134.96,47,98,2,H
140.12,48,98,2,C
145.03,50,98,2,C
150.07,51,98,2,C
155.08,52,98,2,C
160.02,53,98,2,C
165.03,54,98,2,C
170.04,54,98,2,C
175.14,54,98,2,C
180.02,53,98,2,C
185.17,53,97,2,H
190.01,52,97,2,H
195.08,52,98,2,H
200.1,51,98,2,H
205.07,51,98,2,H
210.02,50,98,2,H
215.08,50,98,2,H
220.07,51,97,2,H
225.14,52,97,2,H
230.17,53,97,2,C
235.1,54,97,2,C
240.15,54,97,2,C
245.08,55,97,2,C
250.04,56,97,2,C
255.02,57,97,2,C
260.04,57,97,2,C
265.07,57,97,2,C
270.26,57,97,2,C
274.98,56,97,2,H
280.05,56,97,2,H
285.03,55,97,2,H
290.1,54,97,2,H
295.03,54,97,2,H
300.04,53,97,2,H
305.06,53,97,2,H
310.08,53,97,2,H
315.5,54,97,2,H
320.12,55,97,2,C
325.46,56,97,2,C
329.97,57,97,2,C
335.17,57,97,2,C
339.98,58,97,2,C
345.02,59,97,3,C
350.03,59,97,3,C
355.07,59,97,3,C
360.03,58,97,2,C
365.04,57,97,2,H
370.11,57,97,2,H
375.06,56,97,2,H
379.98,55,97,2,H
385.31,54,97,2,H
389.96,54,97,2,H
395.16,54,97,2,H
400.11,54,97,2,H
405.34,55,97,2,H
410.82,55,97,2,C
415.15,56,97,2,C
420.01,57,97,2,C
425.12,58,97,2,C
430.08,59,97,2,C
435.03,59,97,2,C
440.04,59,97,2,C
445.2,59,97,2,C
450.04,59,97,2,C
460.08,56,,,O
470.01,53,,,O
480.01,51,,,O
490.05,48,,,O
500,46,,,O